# nonletter-usage migration ledger — the SHIPPED rule vs the three retired rules
# corpora=1504

## fleet ledger
retired_rule	total	preserved	coalesced	intentionally-moved	lost
punct.adjacency-anomaly	9354	1252	256	7846	0
lex.punct-only-token	4481	393	0	4088	0
punct.spacing-anomaly	27024	231	1418	25375	0
ALL	40859	1876	1674	37309	0

new_rule_findings_at_defaults	13709
lost_share	0.000000

## obligation (a) — adjacency findings that moved because sequence k = 2
# an old adjacency finding the rule declines at k=2 but WOULD emit at k=8:
# the pairing was already seen 2..7 times in this translation.
k2_specific_movers	908
share_of_adjacency_moved	0.115728
corpus	sid	pattern	context
WA-kdc-reg	MAT 27:40	,!	…zenga kabili kwa siku ndatu,! Lelo humuluka mumsalaba u…
WA-kdx-reg	MAT 7:5	!!	…Nya nyi gumsi!! sang mturu barra nun nya …
WA-kdx-reg	MRK 10:23	.!	…idini ri ye hgwoug kurki ra.!''…
WA-kdx-reg	LUK 4:35	.!	…b yi a leb deri nya vangnne.! mam bama jujjurag sha'ibe…
WA-knl-x-kenyilu-reg	MAT 5:23	,,	…o ikint morik di atas altar,,…
WA-knl-x-kenyilu-reg	MAT 10:21	,.	…i, dan apok tehadap anak ah,. Dan, anak-anak akan ngela…
WA-knl-x-kenyilu-reg	MRK 7:22	,.	…pezinoh,.…
WA-kvb-reg	LUK 12:13	,:	…t iye bekehato kepado Yesus,: Guru, suruhlah dolor- dol…
WA-kvb-reg	LUK 23:14	,:	…kehato kepado rombongon iye,: Kowe ngundah Urang nie ke…
WA-kvb-reg	JHN 3:21	.?	… delakukonye de delom Allah.? Yohanes Besaksi tentang Y…
WA-lur-reg	MAT 14:3	.,	…e gollodana orona Herodiasa., maghinnei Filipusa, oleda…
WA-lur-reg	MRK 12:26	,?	…i Ishak, monno Mori Yakubpa,?…
WA-lur-reg	LUK 16:6	.;	…iighu monno tulisaza 50 bat.;…
WA-mhd-reg	LUK 13:9	.!	…o; m mira kai teukasa, uute.!"…
WA-mhd-reg	JHN 15:19	.;	…idi leseemudumuye sa vakini.; Mira kwaite kune si va id…
WA-mhd-reg	ROM 13:2	.;	…u kacho elhi amri ja Kiumbi.; nahuvo velhi venedoriya h…
WA-mji-x-daoaodai-reg	LUK 10:24	.:	…ngz woac, yâuc max tuz numđ.:…
WA-mji-x-daoaodai-reg	LUK 13:13	.,	…ih gongx hayh stâuđ tuz zac., songđ tanv Tênb-Hungh."…
WA-mji-x-daoaodai-reg	JHN 11:42	.:	…een tingc Pha paiđ yaz taih.:…
WA-mzm-x-zing-reg	LUK 2:38	..	…gaa raaniyuu ɓee Urushelima..…
WA-mzm-x-zing-reg	1CO 14:7	---	…ãa--ana jegong ko vũngtaa---yii na de kaayãa ɓa toto…
WA-mzm-x-zing-reg	EPH 3:9	---	…ni shɔng ɓeweya aru kaseni --- vi vɔ̃ɔseni Laa a lakooy…
WA-nbh-ulb	MAT 7:10	.?	…ko dol ko kerwo a oni samma.?…
WA-nbh-ulb	LUK 22:39	,,	…dgo, nzuni ka goshok zaitun,, majirakui dahangko si.…
WA-nbh-ulb	JHN 9:24	,:	… ngoi woi ka makum ye anita,:" nam ka Ndeyi mu manangko…
WA-nih-reg	MAT 5:47	,?	…mukuvalamuha avajenzi vinyu,? mukupata ishoni nkani lya…
WA-nih-reg	ACT 7:26	,?	… mukukoselana imwe kwa imwe,?…
WA-nih-reg	ACT 8:36	?,	…honi shikundila intahozelwe?,…
WA-nim-reg	MRK 7:29	,:	…Numuila,: Kunsooko watambula itii, …
WA-nim-reg	LUK 13:9	.!	…kina sikalikilela, uuliteme.!…
WA-nim-reg	LUK 13:27	.!	…umuane, inyee atenda madobu.!…

## obligation (b) — the ADR 0024 / ADR 0054 adjudicated multilingual wins
corpus	total	preserved	coalesced	intentionally-moved	lost	adjudication
WA-ne-udb	103	2	1	100	0	ADR 0054: `,`/`!` anchors kept AND the 40 verse-final dandas kept at ~0.549
engwebster	23	0	0	23	0	ADR 0054: spaced period-typography collapses; the genuine spaced-`!` slips kept
