# nonletter fleet survey
corpora=1504
corpora with zero candidates (excluded from rate stats)=0
eligible corpora=1504
`<range>` placeholder lines are dropped by the vref reader before a Corpus exists, so they never enter any denominator here.

## equal-corpus opportunity distributions (one value per corpus)
metric	p50	p90	p99
total_graphemes	1291670	3737695	5341761
candidate_occurrences	39144	135917	315580
distinct_glyphs	23	30	37
hygiene_graphemes	0	0	468
baseless_marks	0	0	1
retained_bytes	323414	1108511	2544392
retained_bytes_per_chapter	1103	2529	5934

## per-channel finding counts per corpus (floor 0.50) — equal-corpus
channel	p50	p90	p99	fleet_total	corpora_firing
absolute_rarity	3	14	26	7939	1104
placement	7	16	30	11892	1426
sequence	2	8	18	4603	1071
max(composed)	13	33	56	24334	1484

## channel abstention share of candidate occurrences (equal-corpus median)
channel	p50_share	p90_share
absolute_rarity	0.0000	0.0000
placement	0.0069	0.0261
sequence	0.9447	0.9943

## composed-score counts by emission floor (Review Depth anchor evidence)
floor	p50	p90	p99	fleet_total
0.50	13	33	56	24334
0.75	8	21	37	15326
0.90	4	14	27	9160

## small (<8000 verses) vs mature corpora
small	corpora=1104	candidates_p50=33418	hits_p50=12	hits_p90=31	rarity_abstain_p50=0.0000
mature	corpora=400	candidates_p50=116334	hits_p50=16	hits_p90=36	rarity_abstain_p50=0.0000

## corpus-weighted tail — the 20 corpora with the most composed hits
id	verses	candidates	distinct	rarity	placement	sequence	max	per_10k_cand
WA-am-ulb	31079	110308	49	22	43	24	89	8.07
portft	7896	54282	39	21	44	23	88	16.21
WA-lo-ulb	31081	137459	34	15	29	31	75	5.46
WA-mhi-x-burolo-reg	7626	48964	33	27	34	13	74	15.11
WA-tel-x-onda-reg	4022	48314	32	6	52	16	74	15.32
WA-dso-ulb	7928	29534	44	17	34	20	71	24.04
WA-tel-x-kovi-reg	3898	33456	34	13	47	10	70	20.92
WA-byn-reg	7582	33546	33	26	25	14	65	19.38
WA-dje-reg	7954	26905	37	28	18	19	65	24.16
WA-tel-x-piya-reg	4015	54530	39	4	44	17	65	11.92
WA-ilo-udb	30799	141552	33	21	28	15	64	4.52
WA-lel-reg	7941	54281	31	6	37	22	64	11.79
WA-omt-reg	7927	42179	35	24	26	10	60	14.23
WA-gaz-ulb	7935	38087	36	17	31	10	58	15.23
WA-es-419-ulb	31100	130570	33	10	24	23	57	4.37
WA-tpi-ulb	31085	115163	33	24	17	15	56	4.86
WA-wci-reg	7955	20742	25	14	38	4	56	27.00
etr	4201	19840	12	49	7	0	56	28.23
WA-ha-ulb	31098	137921	34	17	16	23	55	3.99
WA-mr-udb	7899	31638	24	5	43	7	55	17.38

## decision 5 — rarity numerator basis, composed volume at the adjudicated depth floors
ADOPTED = (d) runs + pooled Nd | (d) runs, digits unpooled = FLAG 3's before | raw occurrences = decision 5's before | (a) occurrences + + continuation support floor 2
variant	depth0(.90)_p50	depth50(.75)_p50	depth100(.50)_p50	fleet@.90	fleet@.75	fleet@.50
EndOnly	4532145	0.23560
Both	8324504	0.43273
(no topology: run-interior)	134563	0.00700

## per-quote-glyph four-state spread — the 6 most quote-heavy corpora
(a straight quote reads EndOnly opening and StartOnly closing, so BOTH marginals look ordinary while `Both` stays rare — which is the whole argument for keeping the state)
corpus	glyph	Neither	StartOnly	EndOnly	Both	interior	Both_share
cac	'	0	147243	0	192623	0	0.56676
cac	“	0	0	33	0	0	0.00000
cac	”	7	24	0	0	2	0.00000
aguBl	'	0	70553	1	163655	0	0.69876
aguBl	”	1397	70	595	0	8	0.00000
aguBl	“	152	0	1628	0	0	0.00000
aguBl	’	469	18	25	0	1	0.00000
kbq	'	0	4870	1596	215971	0	0.97093
gun	'	0	0	21956	176320	0	0.88927
gun	“	77	0	2912	0	0	0.00000
gun	”	675	2191	0	0	2	0.00000
gun	‘	1	0	414	0	0	0.00000
gubBl	'	0	0	15537	179794	0	0.92046
zavNT	'	0	100370	0	61975	0	0.38175
zavNT	“	27	0	471	0	0	0.00000
zavNT	”	409	49	0	0	39	0.00000

## singleton and seen-twice behavior (self-licensing)
singleton_glyph_types p50=1 p90=4; they produce hits p50=1 p90=3 (fleet 1724)
seen_twice_glyph_types p50=0 p90=2; they produce hits p50=0 p90=4 (fleet 1544)

## old-rule overlap ledger, PER RETIRED RULE (fleet totals)
old findings (3 retired rules, shipped defaults) = 40859
old_rule	total	preserved	coalesced	intentionally_moved	lost	lost_share
punct.adjacency-anomaly	9354	1528	272	7554	0	0.00000
lex.punct-only-token	4481	624	0	3857	0	0.00000
punct.spacing-anomaly	27024	366	2454	24204	0	0.00000

disposition	count	share_of_all_old_findings
preserved	2518	0.06163
duplicate-coalesced	2726	0.06672
intentionally-moved	35615	0.87166
lost	0	0.00000

## corpora with the most LOST old findings
id	old_total	lost

## named examples — LOST and INTENTIONALLY-MOVED old findings
corpus	old_rule	disposition	key	span	context
(no LOST findings anywhere in the fleet)
WA-ach-SS-acholi-reg	punct.adjacency-anomaly	intentionally-moved	ACT 18:27	,.	… bot lupwonnye wek gujole,. Ka ceŋ oo kunnu, ci ok…
WA-ach-SS-acholi-reg	punct.adjacency-anomaly	intentionally-moved	GAL 4:10	,.	…ywu me gwoko nino, ki dwe,. ki kare mapatpat, ki m…
WA-ach-SS-acholi-reg	punct.adjacency-anomaly	intentionally-moved	REV 11:13	,.	… madit twatwal oyeŋo piny,. ci dul acel me apar me…
WA-ach-SS-acholi-reg	punct.spacing-anomaly	intentionally-moved	MAT 6:23	!	…i colle doŋ bedo rom mene!…
WA-ach-SS-acholi-reg	punct.spacing-anomaly	intentionally-moved	MAT 10:25	?	…ki nyiŋ marac ma rom mene?…
WA-ach-SS-acholi-reg	punct.spacing-anomaly	intentionally-moved	MAT 23:24	!	…noŋo pe wuŋeyo ni tye iye!…
WA-acq-reg	punct.adjacency-anomaly	intentionally-moved	MAT 22:28	۔!	… السبعة؟ لإنو الكل تزوجها۔!"…
WA-acq-reg	punct.adjacency-anomaly	intentionally-moved	MRK 1:3	۔!	…ربنا ،وخلوا طريقه مستقيم ۔!"…
WA-acq-reg	punct.adjacency-anomaly	intentionally-moved	MRK 1:27	۔!	…اطين يأمرهم أمر ويطيعونُه۔!"…
WA-acq-reg	punct.adjacency-anomaly	intentionally-moved	MRK 7:5	؟۔	…م ياكلوا الاكل بيد وسخانه؟۔…
WA-acq-reg	punct.adjacency-anomaly	intentionally-moved	MRK 12:36	؟۔	… اعدائك واحطهم تحت أرجلك ؟۔ "…
WA-acq-reg	punct.adjacency-anomaly	intentionally-moved	JHN 14:5	؟۔	…ت رايح ، كيف شنعرف الطريق؟۔"…
WA-am-ulb	punct.adjacency-anomaly	intentionally-moved	LEV 7:14	፡፤	… በመሰዊያው ላይ ለሚረጩት ካህናት ይሰጥ፡፤…
WA-am-ulb	punct.adjacency-anomaly	intentionally-moved	LEV 19:26	፤፡፡	…ሆኑ ኃይላት ሌሎችን ለመቆጣጠር አትፈልጉ፤፡፡ …
WA-am-ulb	punct.adjacency-anomaly	intentionally-moved	LEV 21:14	፡፤	…ታችን ሴት፣ ወይም ጋለሞታን ሴት አያግባ፡፤ እንዲያ ካሉት ሴቶች መሃል አያግባ፡…
WA-am-ulb	punct.adjacency-anomaly	intentionally-moved	LEV 23:21	፡፤	…ራል፣ እናም የተለመደ ስራችሁን አትሰሩም፡፤ ይህ የህዝባችሁ በትውልዶች ሁሉ በም…
WA-am-ulb	punct.adjacency-anomaly	intentionally-moved	LEV 25:42	፡፤	…ብፅ ምድር ያወጣኋቸው አገልጋዮቼ ናቸውና፡፤ እንደ ባሪያዎች አይሸጡም፡፡ …
WA-am-ulb	punct.adjacency-anomaly	intentionally-moved	LEV 27:25	፡፤	…ሁሉ በመቅደሱ ሰቅል ዋጋ ሊተመኑ ይገባል፡፤ ሃያ ጌራ ከአንድ ሰቅል ጋር እኩል …
WA-amo-reg	punct.adjacency-anomaly	intentionally-moved	MAT 9:6	,...	…n likara nyi a wese alapi,..." A woro nnan konu nr…
WA-amo-reg	punct.adjacency-anomaly	intentionally-moved	MRK 11:32	,...	… una nuzu kiti 'na nitari,...' Iwa din lanzu fiu n…
WA-amo-reg	punct.adjacency-anomaly	intentionally-moved	ACT 9:15	!,	…i usu, "Can kitin Shawulu!, Bara nan nfereghe a su…
WA-amo-reg	punct.adjacency-anomaly	intentionally-moved	ROM 10:18	!,	…nworo, "Iwa lanza ba?" Eh!, Nanere gbardang. "Liwo…
WA-amo-reg	punct.spacing-anomaly	intentionally-moved	MAT 24:2	? 	…in yenju ile imone vat ba? "Idin bellu minu kidege…
WA-amo-reg	punct.spacing-anomaly	intentionally-moved	MRK 6:2	? 	…ulele na Kutellẹ na nighe? "Kayapin katwa fiu wari…
WA-aoa-reg	punct.adjacency-anomaly	intentionally-moved	MAT 2:19	,:	…u Desu fa ku Zon ni sonhu,:…
WA-aoa-reg	punct.adjacency-anomaly	intentionally-moved	MAT 6:3	..	…ua má mom deto so ka giwa..…
WA-aoa-reg	punct.adjacency-anomaly	intentionally-moved	MAT 6:25	?.	…uê non sa maxi ku ka bixi?.…
WA-aoa-reg	punct.adjacency-anomaly	intentionally-moved	MAT 13:15	,;	… ma vonté, só fisa we ane,; xi axe na ka sa wa, an…
WA-aoa-reg	punct.adjacency-anomaly	intentionally-moved	MRK 4:21	..	…Jizu fa.., Se sa bi ki un a kand…
WA-aoa-reg	punct.adjacency-anomaly	intentionally-moved	MRK 4:21	..,	…Jizu fa.., Se sa bi ki un a kand…
WA-arq-reg	punct.adjacency-anomaly	intentionally-moved	MAT 14:33	۔!	…يقَة أَنْتَ ابْنَ الْلَّه۔!"…
WA-arq-reg	punct.adjacency-anomaly	intentionally-moved	MAT 21:44	۔!	…لحَجْرَة غَادِي تْسَحْقَه۔!"…
WA-arq-reg	punct.adjacency-anomaly	intentionally-moved	MRK 7:28	!:	…بَاتَهْ:"وَاهْ، يَاسَيدِي!: حَتَى لَكْلاَبْ ياَكْل…
WA-arq-reg	punct.adjacency-anomaly	intentionally-moved	LUK 11:11	؟!	…خُبْزْ، وْيَعْطِهْ حْجَرْ؟! ولاَ يَطْلَبْ منّهْ حُ…
WA-arq-reg	punct.adjacency-anomaly	intentionally-moved	LUK 11:45	؟!	…يَرْ فِينَا حْنَا تَانِي ؟!"۔…
WA-arq-reg	punct.adjacency-anomaly	intentionally-moved	JHN 16:19	!:	…ِيَاتْكُمْ مِينِْ ڤُولْتْ!: دَرْوَكْ شْوِيَة مَغَا…
WA-as-ulb	punct.adjacency-anomaly	intentionally-moved	LEV 23:37	।,	…ীয়া যিহোৱাৰ পৰ্ব্ব এইবোৰ।,…
WA-as-ulb	punct.adjacency-anomaly	intentionally-moved	DEU 33:11	;।	…ত্রুবোৰৰ কঁকাল ভাঙি দিয়া;। তেওঁক ঘিণাওঁতা সকলৰ কঁ…
WA-as-ulb	punct.adjacency-anomaly	intentionally-moved	NEH 8:6	!,	…াত দাঙি উত্তৰ দিলে, “আমেন!, আমেন!” তাৰ পাছত মুৰ দো…
WA-as-ulb	punct.adjacency-anomaly	intentionally-moved	JOB 11:6	!,	…য়ে তোমাক প্ৰকাশ কৰিলে হয়!, কিয়নো প্ৰজ্ঞাৰ অনেক দি…

## named anchor cases (synthetic corpora; filler sized so every channel's support gate is cleared, so a silence is a convention and not an abstention)
anchor	glyph	count	exposure	start	end	topology	rarity	placement	sequence	primary	max	probe
~ once	~	1	4001	spaced	spaced	Neither	1.000	abstain	abstain	rarity	1.000	procrastinate ~ my case
$ once	$	1	4001	spaced	spaced	Neither	1.000	abstain	abstain	rarity	1.000	the price was $ high
{ once	{	1	4001	spaced	spaced	Neither	1.000	abstain	abstain	rarity	1.000	he wrote { on the wall
U+00B4 spacing acute once	´	1	4001	spaced	spaced	Neither	1.000	abstain	abstain	rarity	1.000	he said ´ softly
% once	%	1	4003	spaced	spaced	Neither	1.000	abstain	abstain	rarity	1.000	some 50 % of them
superscript 2 once	²	1	4001	letter	spaced	StartOnly	1.000	abstain	abstain	rarity	1.000	the second² book
emoji once	😀	1	4001	spaced	spaced	Neither	1.000	abstain	abstain	rarity	1.000	he smiled 😀 at them
straight vs curly quote mixing	“	1	4002	spaced	letter	EndOnly	1.000	abstain	abstain	rarity	1.000	he said “go” to them
th3e — common digit, Both topology	3	801	7201	letter	letter	Both	0.000	0.999	abstain	placement	0.999	th3e
1,000 numeric grouping (should stay quiet)	,	1602	7210	internal	internal	interior	0.000	abstain	abstain	none	0.000	1,000
stray digit in a DIGIT-FREE corpus (class rarity must fire)	7	1	4001	spaced	spaced	Neither	1.000	abstain	abstain	rarity	1.000	stray 7, no other digits
ordinary digit where numbers are common (rarity must be silent)	3	801	7201	spaced	spaced	Neither	0.000	0.000	abstain	none	0.000	ordinary 3
U+00B2 is No not Nd — must stay its OWN identity and fire	²	1	7201	letter	spaced	StartOnly	1.000	abstain	abstain	rarity	1.000	superscript 2 in a digit-rich corpus
U+00BD vulgar fraction (No) — own identity	½	1	7201	spaced	spaced	Neither	1.000	abstain	abstain	rarity	1.000	vulgar half in a digit-rich corpus
mov$ing — symbol, Both topology	$	1	4001	letter	letter	Both	1.000	abstain	abstain	rarity	1.000	mov$ing
wo.rd — common period, Both topology	.	801	4001	letter	letter	Both	0.000	0.999	abstain	placement	0.999	wo.rd
wo"rd — quote marginals ordinary, Both rare	"	1601	4001	letter	letter	Both	0.000	0.999	abstain	placement	0.999	wo"rd
detached . (spaced both sides)	.	801	4001	spaced	spaced	Neither	0.000	0.999	abstain	placement	0.999	out . and
phrase-ending . at text start	.	801	4001	spaced	spaced	Neither	0.000	0.999	abstain	placement	0.999	leading .
medial * established -> silent	*	2401	4801	letter	letter	Both	0.000	0.000	abstain	none	0.000	wor*d established
medial quote established -> silent	"	2401	4801	letter	letter	Both	0.000	0.000	abstain	none	0.000	wo"rd established
Ethiopic word separator established -> silent	፡	6403	7204	letter	spaced	StartOnly	0.000	0.000	abstain	none	0.000	Ethiopic ፡
detached Ethiopic terminal established -> silent	።	1601	4802	spaced	boundary	Neither	0.000	0.000	abstain	none	0.000	detached ።
. -> " established -> silent	.	801	4004	letter	internal	StartOnly	0.000	0.000	0.000	none	0.000	word."
. -> , unseen pairing	.	801	4002	letter	internal	StartOnly	0.000	0.000	0.999	sequence	0.999	word.,
?! over established ? and !	?	801	7205	letter	internal	StartOnly	0.000	0.000	0.999	sequence	0.999	word?!
:: established -> silent	:	4802	5602	letter	internal	StartOnly	0.000	0.000	0.000	none	0.000	:: established
::: over an established :: (continuation earns its keep)	:	4803	5603	letter	internal	StartOnly	0.000	0.000	1.000	sequence	1.000	::: over ::
Amharic doubled terminal established -> silent	።	3202	7203	letter	internal	StartOnly	0.000	0.000	0.000	none	0.000	።። established
.. over an established single .	.	802	4002	letter	internal	StartOnly	0.000	0.000	0.999	sequence	0.999	word..
singleton ~ in a TINY corpus (must abstain)	~	1	41	spaced	spaced	Neither	abstain	abstain	abstain	none	0.000	~ tiny corpus
seen-twice ~ (cannot license itself)	~	2	4002	spaced	spaced	Neither	0.875	abstain	abstain	rarity	0.875	~ x2
seen-4x ~	~	4	4004	spaced	spaced	Neither	0.625	abstain	abstain	rarity	0.625	~ x4
single medial * (1/1 must NOT self-license)	*	1	4001	letter	letter	Both	1.000	abstain	abstain	rarity	1.000	wor*d once
