corpus	words	glyph	glyph_char	count	per1k	OPEN	CLOSE	MIDWORD	ISOLATED
stitched__dso_reg	186311	DQUOTE_STRAIGHT	"	2353	12.629	532	73	3	1745
stitched__dso_reg	186311	APOS_STRAIGHT	'	639	3.430	137	18	1	483
stitched__dso_reg	186311	LSQUO	‘	83	0.445	57	1	0	25
stitched__dso_reg	186311	RSQUO	’	76	0.408	3	18	0	55
stitched__dso_reg	186311	SQUO_LOW	‚	1092	5.861	106	293	78	615
stitched__dso_reg	186311	LDQUO	“	416	2.233	393	1	0	22
stitched__dso_reg	186311	RDQUO	”	260	1.396	11	75	9	165
stitched__ekp_reg	147077	DQUOTE_STRAIGHT	"	1859	12.640	974	142	6	737
stitched__ekp_reg	147077	APOS_STRAIGHT	'	4441	30.195	225	243	3850	123
stitched__ekp_reg	147077	LSQUO	‘	23	0.156	23	0	0	0
stitched__ekp_reg	147077	RSQUO	’	289	1.965	30	4	253	2
stitched__ekp_reg	147077	LDQUO	“	448	3.046	438	0	0	10
stitched__ekp_reg	147077	RDQUO	”	262	1.781	16	115	2	129
stitched__gay_reg	163819	DQUOTE_STRAIGHT	"	2368	14.455	970	66	18	1314
stitched__gay_reg	163819	APOS_STRAIGHT	'	5648	34.477	763	74	3145	1666
stitched__gay_reg	163819	LDQUO	“	1	0.006	1	0	0	0
stitched__gay_reg	163819	RDQUO	”	1	0.006	0	0	0	1
stitched__gay_reg	163819	BACKTICK	`	1	0.006	1	0	0	0
stitched__geg_reg	142093	DQUOTE_STRAIGHT	"	207	1.457	87	58	2	60
stitched__geg_reg	142093	APOS_STRAIGHT	'	1046	7.361	15	44	923	64
stitched__geg_reg	142093	BACKTICK	`	2	0.014	1	0	0	1
stitched__gey_reg	160770	DQUOTE_STRAIGHT	"	2352	14.630	1207	686	14	445
stitched__gey_reg	160770	APOS_STRAIGHT	'	6828	42.471	6	10	6809	3
stitched__gey_reg	160770	BACKTICK	`	149	0.927	0	1	148	0
stitched__gl_reg	158127	DQUOTE_STRAIGHT	"	6	0.038	3	3	0	0
stitched__gl_reg	158127	LDQUO	“	8	0.051	8	0	0	0
stitched__gl_reg	158127	RDQUO	”	8	0.051	0	7	0	1
stitched__gl_reg	158127	LAQUO	«	564	3.567	564	0	0	0
stitched__gl_reg	158127	RAQUO	»	566	3.579	2	477	0	87
stitched__gog_reg	139061	DQUOTE_STRAIGHT	"	2618	18.826	1270	344	17	987
stitched__gog_reg	139061	APOS_STRAIGHT	'	913	6.565	200	58	202	453
stitched__gog_reg	139061	BACKTICK	`	1	0.007	1	0	0	0
stitched__haq_reg	119915	DQUOTE_STRAIGHT	"	1073	8.948	264	84	3	722
stitched__haq_reg	119915	APOS_STRAIGHT	'	522	4.353	115	23	15	369
stitched__haq_reg	119915	LSQUO	‘	2	0.017	1	0	0	1
stitched__haq_reg	119915	RSQUO	’	26	0.217	2	1	11	12
stitched__haq_reg	119915	LDQUO	“	211	1.760	207	0	0	4
stitched__haq_reg	119915	RDQUO	”	184	1.534	4	22	0	158
stitched__hke-x-bakobo_reg	116412	DQUOTE_STRAIGHT	"	567	4.871	250	85	11	221
stitched__hke-x-bakobo_reg	116412	APOS_STRAIGHT	'	4717	40.520	31	33	4579	74
stitched__hke-x-bakobo_reg	116412	BACKTICK	`	2	0.017	0	0	2	0
stitched__hke-x-bakobo_reg	116412	DIGRAPH_OPEN	<<	7	0.060	0	0	0	0
stitched__hke-x-bakobo_reg	116412	DIGRAPH_CLOSE	>>	7	0.060	0	0	0	0
stitched__hts_reg	119232	DQUOTE_STRAIGHT	"	2046	17.160	201	98	16	1731
stitched__hts_reg	119232	APOS_STRAIGHT	'	6709	56.268	1405	110	3105	2089
stitched__hts_reg	119232	BACKTICK	`	229	1.921	56	1	166	6
stitched__ihi_reg	173556	DQUOTE_STRAIGHT	"	1336	7.698	630	131	0	575
stitched__ihi_reg	173556	APOS_STRAIGHT	'	569	3.278	164	38	23	344
stitched__ish_reg	167231	DQUOTE_STRAIGHT	"	1920	11.481	1055	446	3	416
stitched__ish_reg	167231	APOS_STRAIGHT	'	904	5.406	136	89	591	88
stitched__jit-x-hambwe_reg	119301	DQUOTE_STRAIGHT	"	2585	21.668	1134	219	3	1229
stitched__jit-x-hambwe_reg	119301	APOS_STRAIGHT	'	230	1.928	74	19	5	132
stitched__jit-x-hambwe_reg	119301	BACKTICK	`	4	0.034	1	3	0	0
stitched__kmr-IQ-badini_reg	167120	LAQUO	«	19	0.114	17	0	0	2
stitched__kmr-IQ-badini_reg	167120	RAQUO	»	11	0.066	0	0	0	11
stitched__kmr-IQ-badini_reg	167120	LSAQUO	‹	11	0.066	10	0	0	1
stitched__kmr-IQ-badini_reg	167120	RSAQUO	›	6	0.036	0	3	0	3
stitched__kmr-x-afrini_reg	170764	DQUOTE_STRAIGHT	"	3	0.018	1	0	0	2
stitched__kmr-x-afrini_reg	170764	APOS_STRAIGHT	'	2	0.012	0	0	0	2
stitched__kmr-x-afrini_reg	170764	LSQUO	‘	2	0.012	0	2	0	0
stitched__kmr-x-afrini_reg	170764	RSQUO	’	1	0.006	1	0	0	0
stitched__kmr-x-afrini_reg	170764	LAQUO	«	1808	10.588	237	30	17	1524
stitched__kmr-x-afrini_reg	170764	RAQUO	»	1788	10.471	10	552	0	1226
stitched__knl-x-kenyilu_reg	165288	DQUOTE_STRAIGHT	"	3765	22.778	1872	65	0	1828
stitched__knl-x-kenyilu_reg	165288	APOS_STRAIGHT	'	906	5.481	324	40	285	257
stitched__knx-x-bajare_reg	168678	DQUOTE_STRAIGHT	"	3270	19.386	1177	124	5	1964
